epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.595,1.75036,1.59086,1.13531,0,0,0,0,0,1102.14,0,0.00010002,0.00010002,0.00010002
2,29.4283,1.51179,1.02008,1.05703,0,0,0,0,0,1423.56,0,0.000195256,0.000195256,0.000195256
3,42.989,1.48543,0.90254,1.01842,0,0,0,0,0,1021.6,0,0.000267387,0.000267387,0.000267387
4,57.3091,1.46359,0.84196,0.99317,0,0,0,0,0,929.691,0,0.000316413,0.000316413,0.000316413
5,70.6629,1.38446,0.7781,0.98941,0,0,0,0,0,1055.06,0,0.000342335,0.000342335,0.000342335
6,83.9637,1.39202,0.75215,0.97314,0,0,0,0,0,1270.44,0,0.000345152,0.000345152,0.000345152
7,97.2455,1.38722,0.72202,0.98173,0,0,0,0,0,1086.53,0,0.000324865,0.000324865,0.000324865
8,110.665,1.35861,0.69817,0.97828,0,0,0,0,0,909.284,0,0.000281473,0.000281473,0.000281473
9,124.075,1.35176,0.66048,0.95388,0,0,0,0,0,956.977,0,0.000214976,0.000214976,0.000214976
10,137.6,1.33596,0.66953,0.95861,0,0,0,0,0,922.467,0,0.000125375,0.000125375,0.000125375
